question,answer
What are your store hours?,"We're open Monday to Saturday, 9am to 6pm, and closed on Sundays."
Do you offer bike repairs?,"Yes, our workshop handles everything from flat tires to full tune-ups. Drop your bike off anytime during store hours."
How long does a repair take?,Most basic repairs like flats or brake adjustments are done same-day. Full tune-ups usually take 2-3 business days.
Do I need an appointment for a repair?,"Walk-ins are welcome, but booking ahead online guarantees you a same-day slot during busy weekends."
What is the cost of a standard tune-up?,"A standard tune-up starts at $65 and includes gear adjustment, brake check, and a safety inspection."
Do you sell electric bikes?,"Yes, we carry a range of electric bikes from commuter models to off-road e-bikes."
What is your return policy?,Unused items in original packaging can be returned within 30 days with a receipt for a full refund.
Can I return a bike I've already ridden?,"Bikes that have been ridden can't be returned, but they are covered under our standard mechanical warranty."
Do you offer a warranty on new bikes?,All new bikes come with a 2-year frame warranty and a 1-year warranty on components.
How do I know what bike size I need?,"Our staff can measure your height and inseam in-store, or you can use our online size guide before you visit."
Do you offer financing options?,"Yes, we offer 0% financing over 6 or 12 months on purchases over $500."
Can I trade in my old bike?,We accept trade-ins for store credit. Bring your bike in and our team will give you a same-day valuation.
Do you rent bikes?,"Yes, we rent city bikes, mountain bikes, and e-bikes by the hour, day, or week."
What's included in a bike rental?,"Every rental includes a helmet, lock, and a basic repair kit at no extra charge."
Do you offer group rides or events?,"We host a free group ride every Saturday morning, open to all skill levels."
How often should I service my bike?,"We recommend a full tune-up once a year, or every 2,000 miles for regular riders."
Do you fix flat tires while I wait?,"Yes, flat repairs typically take about 20 minutes and can usually be done while you wait."
Do you sell bike parts and accessories?,"We stock tires, tubes, lights, locks, helmets, and most common replacement parts."
Can you special order a part you don't stock?,"Yes, special orders usually arrive within 3-5 business days and we'll call you when it's in."
Is parking available at your shop?,"There's free customer parking right behind the shop, accessible from the side alley."
Do you offer bike fitting services?,"Yes, professional bike fitting sessions are available by appointment for $75."
What payment methods do you accept?,"We accept cash, all major credit cards, and contactless payments."
Do you buy used bikes?,We buy used bikes in good condition. Bring it in for a free assessment and cash offer.
Can kids get bikes fitted here too?,"Absolutely, we fit and stock kids' bikes starting from balance bikes up to youth mountain bikes."
Do you offer delivery for online orders?,"Yes, local delivery is available within 15 miles, and we ship nationwide for parts and accessories."
